label,pattern,attr,replace,remove
color,amber,lower,,
color,black,lower,,
color,blackish,lower,black,
color,blue,lower,,
color,blueish,lower,blue,
color,bluish,lower,blue,
color,bronze,lower,bronze,
color,bronzy,lower,bronze,
color,brown,lower,,
color,brownish,lower,brown,
color,castaneous,lower,,
color,chartreuse,lower,,
color,cream,lower,white,
color,cream-yellow,lower,yellow,
color,creamy,lower,white,
color,crimson,lower,red,
color,dark-olivaceous,lower,green,
color,ebony,lower,black,
color,fawn,lower,,
color,fuscous,lower,,
color,fuscous-brown,lower,,
color,glaucous,lower,,
color,glaucous-pink,lower,pink,
color,gold,lower,,
color,golden,lower,,
color,golden-yellow,lower,yellow,
color,grass-green ,lower,green,
color,gray,lower,,
color,grayish,lower,gray,
color,green,lower,,
color,greenish,lower,green,
color,grey,lower,,
color,greyish,lower,gray,
color,ivory,lower,white,
color,lavendar,lower,purple,
color,lavender,lower,purple,
color,lemon,lower,yellow,
color,lilac,lower,purple,
color,lilac-pink,lower,,
color,livid-brown,lower,,
color,maroon,lower,red-brown,
color,olivaceous-brown,lower,,
color,olive,lower,green,
color,olive-green,lower,green,
color,orange,lower,,
color,orangish,lower,orange,
color,pink,lower,,
color,pinkish,lower,pink,
color,purple,lower,,
color,purpleish,lower,purple,
color,purplish,lower,purple,
color,red,lower,,
color,reddish,lower,red,
color,rose,lower,pink,
color,rose-colored,lower,pink,
color,rose-coloured,lower,pink,
color,roseate,lower,,
color,salmon,lower,,
color,salmon-pink,lower,orange-pink,
color,scarlet,lower,red,
color,silver,lower,,
color,silvery,lower,silver,
color,sordid,lower,,
color,sordid-grayish,lower,,
color,stramineous,lower,yellow,
color,straw-colored,lower,yellow,
color,straw-coloured,lower,yellow,
color,sulfur-yellow,lower,yellow,
color,sulphur-yellow,lower,yellow,
color,tan,lower,,
color,turquoise,lower,,
color,uncolored,lower,,
color,violet,lower,purple,
color,violetish,lower,purple,
color,white,lower,,
color,whitish,lower,white,
color,yellow,lower,,
color,yellowish,lower,yellow,
color_mod,backed,lower,,
color_mod,blotch,lower,,
color_mod,blotched,lower,,
color_mod,blotches,lower,,
color_mod,bright,lower,,1
color_mod,broadsaddle,lower,,
color_mod,bull’s-eye,lower,,
color_mod,bulls-eye,lower,,
color_mod,dark,lower,,1
color_mod,darker,lower,,1
color_mod,dot,lower,,
color_mod,dots,lower,,
color_mod,dull,lower,,1
color_mod,duller,lower,,1
color_mod,dusky,lower,,1
color_mod,faint,lower,,1
color_mod,faintly,lower,,1
color_mod,gloss,lower,,
color_mod,glossed,lower,,
color_mod,glossy,lower,,
color_mod,light,lower,,1
color_mod,lighter,lower,,1
color_mod,line,lower,,
color_mod,lined,lower,,
color_mod,lines,lower,,
color_mod,longitudinal,lower,,
color_mod,marked,lower,,
color_mod,marking,lower,,1
color_mod,markings,lower,,1
color_mod,matte,lower,,
color_mod,metallic,lower,,
color_mod,mottled,lower,,
color_mod,mottling,lower,,
color_mod,narrowsaddle,lower,,
color_mod,overtone,lower,,1
color_mod,overtones,lower,,1
color_mod,pale,lower,,1
color_mod,paler,lower,pale,1
color_mod,patch,lower,,1
color_mod,patched,lower,,1
color_mod,pattern,lower,,
color_mod,patterned,lower,,
color_mod,patterns,lower,,
color_mod,pruinescence,lower,,
color_mod,pruinose,lower,,
color_mod,pruinosity,lower,,
color_mod,ring,lower,,
color_mod,ringed,lower,,
color_mod,rings,lower,,
color_mod,saddlebags,lower,,
color_mod,speckled,lower,,
color_mod,speckles,lower,,
color_mod,spot,lower,,
color_mod,spots,lower,,
color_mod,spotted,lower,,
color_mod,square,lower,,
color_mod,squares,lower,,
color_mod,streaked,lower,,
color_mod,streaks,lower,,
color_mod,stripe,lower,,
color_mod,striped,lower,,
color_mod,stripes,lower,,
color_mod,striping,lower,,
color_mod,throated,lower,,
color_mod,tinge,lower,,
color_mod,tinged,lower,,
color_mod,tinges,lower,,
color_mod,tint,lower,,1
color_mod,tinted,lower,,1
color_mod,tipped,lower,,
color_mod,unmarked,lower,,
color_mod,wash,lower,,1
color_mod,washed,lower,,1
color,olivaceous,lower,green,
color,cinnamon-colored,lower,brown,
color,cinnamon-coloured,lower,brown,
color,ochre,lower,brown,
color,ocher,lower,brown,
color,purplishbrown,lower,brown,
color,cinnamon-brown,lower,brown,
color_mod,pallid,lower,pale,1
color,nigrescent,lower,black,
